sleep_log_entry_id,timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
26093459526,2020-02-27T06:04:30Z,80,20,19,41,65,60,0.11733046286329386
26081303207,2020-02-26T06:13:30Z,83,22,21,40,85,60,0.11318795430944964
26062481322,2020-02-25T06:00:30Z,82,22,21,39,95,60,0.12063492063492064
26045941555,2020-02-24T05:49:30Z,79,17,20,42,52,61,0.11122448979591837
26034268762,2020-02-23T08:35:30Z,75,20,16,39,43,59,0.15477386934673368
26022694306,2020-02-22T07:43:00Z,79,19,21,39,53,60,0.09750297265160524
26007961616,2020-02-21T06:35:30Z,81,22,17,42,89,58,0.12588832487309645
25988234988,2020-02-20T06:25:00Z,81,21,21,39,60,58,0.11811926605504587
25969165537,2020-02-19T06:34:00Z,88,22,20,46,91,59,0.12130177514792899
25952365608,2020-02-18T05:46:30Z,84,23,20,41,114,61,0.13891726251276812
25938189656,2020-02-17T06:19:00Z,86,22,22,42,89,63,0.09623430962343096
25926432422,2020-02-16T08:15:30Z,76,21,18,37,49,60,0.11136107986501688
25901113872,2020-02-14T06:34:00Z,78,18,19,41,74,58,0.12269938650306748
25883532376,2020-02-13T06:03:00Z,85,21,21,43,52,58,0.10491071428571429
25871057666,2020-02-12T06:28:30Z,81,22,17,42,88,58,0.1282316442605998
25860431526,2020-02-11T06:01:30Z,69,18,18,33,57,57,0.13793103448275862
25844332793,2020-02-10T06:34:00Z,86,22,22,42,88,57,0.10461538461538461
25829772076,2020-02-09T08:11:30Z,86,21,21,44,80,58,0.13311948676824378
25817419640,2020-02-08T08:17:00Z,87,22,20,45,132,59,0.13164556962025317
25803331988,2020-02-07T06:33:00Z,79,20,18,41,88,58,0.14084507042253522
25785877070,2020-02-06T05:50:00Z,81,21,18,42,80,57,0.11764705882352941
25769882127,2020-02-05T05:46:30Z,82,21,20,41,46,57,0.12259371833839919
25755117610,2020-02-04T05:47:00Z,83,22,19,42,83,58,0.16132478632478633
25742882864,2020-02-03T05:58:30Z,84,22,20,42,85,59,0.13249211356466878
25729700495,2020-02-02T08:13:30Z,78,19,15,44,100,57,0.17530631479736097
25717829971,2020-02-01T08:30:00Z,81,20,17,44,100,58,0.1504491017964072
25704549870,2020-01-31T06:35:30Z,82,22,19,41,103,57,0.1182108626198083
25684248305,2020-01-30T06:33:00Z,81,22,18,41,89,57,0.1384297520661157
25655144692,2020-01-29T06:33:00Z,83,21,21,41,107,59,0.12727272727272726
25642147792,2020-01-28T05:43:30Z,75,20,20,35,66,60,0.1445358401880141
25624216079,2020-01-27T06:30:30Z,75,20,17,38,87,59,0.14594594594594595
25613704007,2020-01-26T09:59:00Z,82,20,19,43,88,58,0.1306772908366534
25593158621,2020-01-25T08:56:00Z,73,18,17,38,75,57,0.14451382694023193
25584797887,2020-01-24T06:25:00Z,82,21,19,42,70,57,0.12525458248472504
25566089471,2020-01-23T05:46:00Z,82,21,22,39,79,58,0.11123470522803114
25553681127,2020-01-22T05:59:00Z,78,22,20,36,89,58,0.12290502793296089
25536165788,2020-01-21T05:45:00Z,76,21,20,35,67,59,0.13196814562002276
25523347864,2020-01-20T07:49:30Z,82,21,20,41,89,60,0.11534500514933059
25510939805,2020-01-19T07:52:00Z,81,19,21,41,44,60,0.10616784630940344
25498043781,2020-01-18T08:22:00Z,80,22,18,40,85,60,0.1424390243902439
25481521636,2020-01-17T06:33:00Z,77,22,20,35,84,60,0.11912225705329153
25464967288,2020-01-16T05:40:30Z,79,21,21,37,82,61,0.13427561837455831
25451954958,2020-01-15T07:03:30Z,72,18,18,36,75,61,0.1487778958554729
